age,Auditory,Kinaesthetic,Visual,ExtrinsicMotivation,IntrinsicMotivation,SelfEfficacy,StudyTime,Conscientiousness,CAOpoints,Maths,English,Pass
20,4.55376193,3.392476139,7.05376193,7.5,5.736559517,4.910396783,5.111559517,6.547492046,546,80,68,Pass
24,2.5,4.140759968,8.359240032,8.339810008,5.390759968,6.380253323,4.15047498,4.147236643,272,25,29,Fail
25,0,7.5,7.5,6.875,5.012360672,5.833333333,4.521979496,2.941388011,286,27,43,Fail
19,2.645183037,5,7.354816963,8.052408482,5.697591518,7.403211309,7.870929686,6.618272321,414,51,65,Pass
25,2.5,5,7.5,8.238439419,5.965318256,7.046242325,8.011560581,6.666666667,350,45,56,Pass
18,1.760898477,5,8.239101523,8.309775381,6.364101523,7.5,7.385898477,7.036217428,458,63,72,Pass
26,0.262134976,4.868932512,9.868932512,7.565533744,6.875,7.456310837,7.401699384,4.714400821,21,3,4,Pass
18,0.09189208,7.40810792,7.5,7.54594604,7.47702698,4.258558747,6.31891906,6.34189208,347,29,69,Pass
18,0.115792104,7.326311844,7.557896052,7.514474013,7.471051974,4.185965351,6.206577961,6.25,340,27,68,Pass
18,0.650009777,6.849990223,7.5,7.825004889,7.662502444,5.466686221,5.924995111,6.141665037,344,30,61,Pass
19,3.509000718,5,6.490999282,7.872749821,6.129500359,6.827332855,7.115999282,6.330333094,357,40,64,Pass
19,2.5,3.613112174,8.886887826,7.639139022,7.360860978,7.128962609,8.886887826,7.083333333,405,32,28,Fail
19,2.5,6.433457374,6.066542626,7.858364344,5.808457374,5.833333333,4.200093031,5.661276499,338,55,48,Fail
19,2.5,7.306446991,5.193553009,7.931446991,6.826611748,5.704297994,4.903223496,6.760744985,333,83,46,Fail
19,3.571870471,3.928129529,7.5,7.410935236,6.25,7.5,6.517967618,6.25,307,21,57,Fail
20,3.726816601,5.046366799,6.226816601,7.5115917,5.95488755,4.606516733,5,6.469925033,280,73,35,Fail
19,3.014534691,6.470930618,5.514534691,7.739098982,6.489098982,6.004844897,5.643168364,6.740310206,334,72,47,Fail
19,3.920429287,5,6.079570713,6.875,6.605107322,6.789785356,6.072446339,5.894892678,311,17,62,Fail
20,1.321806258,7.5,6.178193742,7.5,5.919548435,7.279698957,7.959774218,4.669548435,400,38,37,Fail
20,3.641755884,4.074732348,7.283511768,7.785438971,7.214561029,6.141755884,7.839561029,4.130585295,378,68,53,Pass
20,3.370175938,5.759648124,5.870175938,7.935087969,7.282456016,5.870175938,7.254824062,4.475146615,396,51,58,Pass
26,2.554259071,2.5,9.945740929,6.304259071,7.486435232,5.869506048,3.790694304,3.795215893,6,1,1,Pass
21,2.778155379,5,7.221844621,6.875,6.319538845,5.926051793,3.889077689,5.04635923,477,54,93,Pass
19,2.5,6.742432809,5.757567191,7.784087697,7.594695899,5.505044794,7.27273691,4.065652996,442,54,73,Pass
26,2.5,2.5,10,6.296094641,7.453905359,5.817968453,3.773047321,3.803777082,9,1,2,Pass
25,3.296434036,1.703565964,10,6.847325527,7.101782982,6.098811345,4.148217018,4.41369503,56,6,13,Pass
19,2.5,5.015262786,7.484737214,7.810592152,7.810592152,6.242368607,9.056776455,5.406491476,410,37,66,Pass
21,2.5,4.042359267,8.457640733,7.353820367,6.96823055,6.471760489,6.144101833,5.798033944,436,37,82,Pass
27,5,4.145429827,5.854570173,8.520429827,7.48407237,6.666666667,5.031855259,7.48938158,104,12,23,Fail
34,4.035032783,4.035032783,6.929934433,8.607483608,7.017516392,7.178344261,5.581209021,5.796710378,84,21,13,Fail
27,4.120376755,5,5.879623245,9.375,8.344905811,6.666666667,4.409717434,7.037043422,87,16,14,Fail
20,5,7.472589331,2.527410669,8.118147333,8.104441999,5.824196444,9.979441999,5.819627999,485,54,63,Fail
36,4.36938025,5,5.63061975,7.967345062,6.86938025,7.079586833,5.320929625,6.87312675,101,18,16,Fail
23,5,2.706507365,7.293492635,9.548915439,7.673915439,8.195661757,2.72554228,3.981887252,365,72,44,Pass
24,2.5,4.308679246,8.191320754,8.297830188,7.845660377,7.127547169,4.720660377,6.595660377,282,18,36,Pass
21,4.469590995,5.530409005,5,7.765204503,7.765204503,5.530409005,4.640204503,5.707212007,343,29,45,Pass
25,2.447698737,5.052301263,7.5,8.111924684,7.5,6.666666667,4.453451894,6.206415614,238,1,30,Pass
20,4.081959046,5.918040954,5,7.5,6.811469285,5,3.686469285,4.081959046,453,46,59,Pass
26,2.729143213,4.541713573,7.729143213,8.29685741,7.442714197,6.819428809,4.54685741,6.135428393,211,0,26,Pass
24,1.778482082,6.443035835,6.778482082,8.125,6.958861562,6.426160694,4.375,6.009494027,274,26,32,Pass
21,3.556657466,6.443342534,5,7.5,7.139164367,5.721671267,4.194582183,5.120278544,414,42,60,Pass
31,4.041627493,4.229186254,6.729186254,7.932296563,8.270813746,7.180542498,5.338517183,5.864593127,160,0,20,Pass
22,5.725070184,4.274929816,5,7.5,7.681267546,5.966760245,4.918802638,5.845915215,460,50,57,Pass
23,4.577863583,1.266409252,9.155727165,9.683397687,7.702863583,9.155727165,3.027670522,4.442621194,365,83,49,Pass
24,5.009319269,0,9.990680731,9.997670183,8.131989452,9.996893577,2.518638538,4.594205814,325,82,40,Pass
25,2.5,7.455786536,5.044213464,7.522106732,6.283160098,6.710880131,7.44473317,5,4,0,0,Fail
25,2.5,5,7.5,8.75,8.125,7.589141478,4.375,5.788762594,228,2,31,Fail
26,2.5,7.096332289,5.403667711,7.298166144,6.25,6.532110763,7.197249217,4.932722048,42,0,9,Fail
26,1.9751279,8.0248721,5,7.23756395,7.03730815,7.191538767,8.0248721,5.349914733,84,8,10,Fail
20,4.740692602,2.5,7.759307398,8.620346301,7.004653699,6.407359269,9.286904656,3.7067821,395,28,55,Fail
19,6.13152821,5,3.86847179,6.532882053,6.021921368,6.514614246,5.739039316,4.282183474,384,48,51,Pass
21,2.63580162,3.68209919,8.68209919,5.988425607,5.988425607,5.833333333,5.591049595,5.129115722,284,18,39,Pass
19,1.348445104,7.050518299,6.601036597,9.438147873,8.300518299,8.033678866,7.162888724,7.167530498,399,25,37,Pass
19,6.906229958,4.406229958,3.687540083,7.171885021,6.695327531,6.864590014,6.218770042,4.541693389,423,55,58,Pass
21,5.626675026,4.063337513,5.309987462,7.577496865,6.25,6.354445838,5.390834378,5.623324974,249,34,32,Pass
28,2.5,2.5,10,9.88803906,8.526078119,8.868104159,9.552156238,9.88803906,0,0,0,Pass
19,7.223628059,5,2.776371941,7.082278956,6.38818597,6.482418706,5.48681403,4.256681892,395,52,54,Pass
19,5,7.5,2.5,9.375,6.875,7.5,8.125,9.166666667,370,18,46,Pass
28,5.969490529,5.561018942,3.469490529,9.132627368,7.359745264,7.5,7.882627368,7.874012628,226,11,28,Pass
35,6.778166856,2.5,5.721833144,8.569541714,7.944541714,7.981222096,7.139083428,5.833333333,69,13,21,Pass
21,4.1612257,6.6612257,4.1775486,8.745919275,6.875,7.5,8.754080725,8.327892367,357,33,40,Pass
22,3.310922468,5.292718355,6.396359177,7.297269383,7.224089794,6.764239452,2.849089794,5.097572785,122,16,15,Fail
29,4.116267554,2.651197337,8.232535109,7.904066889,6.616267554,8.527112591,8.011601997,6.763556295,169,6,26,Fail
22,3.54659592,4.360212241,7.09319184,9.21505306,8.43010612,7.90680816,8.16845714,6.627836734,340,42,72,Fail
39,7.35105424,2.35105424,5.29789152,9.30052712,7.42552712,8.918423734,9.73934492,8.943248027,25,2,5,Fail
45,4.87470803,0.250583941,9.87470803,8.093677007,6.218677007,5.08352798,6.156031022,5.437548662,75,45,24,Fail
20,2.5,5,7.5,7.5,3.929269411,5.913008627,3.244512941,3.195530195,353,52,50,Fail
21,2.915491217,4.169017565,7.915491217,7.603872804,4.165491217,5.694836261,3.540491217,3.332157884,373,52,57,Fail
24,5,0.290933054,9.709066946,8.125,6.322733264,5.290933054,5.406800209,5.416666667,415,36,80,Fail
22,5,3.841314655,6.158685345,8.765219109,6.570109555,6.707250958,5.945109555,6.910511255,435,60,71,Fail
20,7.239001621,2.239001621,5.521996757,8.684750405,6.25,7.239001621,7.304251216,4.297165856,369,12,65,Fail
19,3.707826231,3.792173769,7.5,6.594130327,6.228913115,5.86144918,3.469130327,6.034637705,271,27,46,Fail
39,7.397577798,2.602422202,5,9.246972248,7.448788899,9.030103731,10,9.098385199,16,1,2,Fail
19,3.634728455,5,6.365271545,6.932635773,5.908682114,6.288423848,6.928139023,6.58981897,320,31,48,Fail
25,4.987623951,0.012376049,10,8.126547006,6.251547006,5.006188024,5.635829043,5.419760679,427,36,86,Fail
19,3.663021657,6.163021657,5.173956685,5.4647121,4.171222928,6.278992781,4.084244586,5.251822505,352,36,53,Fail
33,2.5,5,7.5,8.75,8.926974696,5.110531712,6.863822872,6.777198378,50,18,5,Pass
32,2.5,5,7.5,7.551545884,6.353091768,4.166666667,3.627576474,5.833333333,0,0,0,Pass
29,2.5,5,7.5,8.666435856,9.180016997,7.351441522,9.665743423,9.018108188,168,61,16,Pass
33,4.107898525,3.392101475,7.5,7.276974631,6.004936578,5.238599017,4.308885841,6.369299508,77,26,4,Pass
36,2.5,6.556547998,5.943452002,7.193452002,8.985863001,7.5,8.832589002,9.426091333,305,25,42,Pass
39,3.614560459,5,6.385439541,7.43228023,6.671840689,5.281227126,5.007761034,6.762133716,0,0,0,Pass
27,1.390545748,5.414181378,8.195272874,8.923818218,7.951181782,7.731757625,5.380908908,6.25,481,32,49,Pass
19,4.23791504,0.76208496,10,9.47026062,7.30947876,8.079305013,3.6013031,5.99597168,390,47,25,Pass
24,4.40028178,0.59971822,10,9.000176113,7.5,8.033474224,3.125,6.200023482,371,50,25,Pass
19,5,0,10,9.68486308,8.73945232,7.093881013,3.125,5.217123067,374,36,29,Pass
25,2.5,6.012972475,6.487027525,8.243513763,7.855541288,7.162342508,8.22729817,8.153694192,257,49,24,Pass
19,4.854698271,0.290603457,9.854698271,9.266023704,7.645301729,8.430201152,3.379278025,6.371084774,416,46,31,Pass
30,2.32419734,5,7.67580266,7.05080266,5.131851995,4.401070213,2.543950665,5.80403289,20,2,4,Pass
28,3.195152699,5,6.804847301,8.663105913,9.02742365,7.5,9.739317738,8.529443359,214,66,27,Pass
27,4.487119738,0.512880262,10,6.266100328,8.509660197,8.012880262,6.137880262,6.68813377,116,1,18,Pass
19,5,2.5,7.5,7.334987921,6.64500604,6.360008053,9.310018119,7.150020132,500,67,78,Pass
22,5,3.829181086,6.170818914,8.125,6.914590543,6.719454057,5.466637828,6.497923876,469,58,77,Pass
19,5.2322384,2.7322384,7.0355232,8.2991788,6.3080596,5.910746133,7.6605232,5.755920533,496,69,74,Pass
46,2.5,2.64524557,9.85475443,8.677377215,9.891065823,9.90316962,8.233934177,9.878962025,27,1,4,Pass
22,5,0.756327297,9.243672703,5.751054549,7.809863626,7.331927267,5.625,5.875351516,167,6,25,Pass
35,3.74871448,3.74871448,7.502571039,7.81346414,8.12692828,8.33504736,6.5641069,7.918809199,243,27,31,Pass
19,4.179655651,2.5,8.320344349,7.099569563,6.25,6.10678145,7.919913913,6.10678145,486,58,78,Pass
22,5,0.086904924,9.913095076,5.668452462,8.059821307,7.413095076,5.581547538,5.833333333,157,4,24,Pass
19,2.5,5,7.5,8.75,8.125,5.833333333,5.625,5.833333333,464,36,86,Fail
19,1.984023902,5.515976098,7.5,7.847041828,7.738017926,6.349309432,6.140976098,5.575345284,470,34,85,Fail
19,2.5,5,7.5,7.060878707,5.692363878,5.247838277,5,4.965899365,439,44,52,Fail
20,2.5,5,7.5,7.320962581,8.033850326,6.783850326,8.567700651,5.536024946,569,17,77,Fail
20,3.687514268,3.812485732,7.5,9.343757134,7.531242866,6.229171423,5.328121433,7.416685691,385,36,61,Fail
31,2.187403574,5.312596426,7.5,9.296850894,7.578149106,7.395801191,6.25,7.187403574,0,0,0,Pass
19,2.5,2.5,10,8.38161658,7.04607772,8.21928152,5.684310879,5.456207253,372,62,37,Pass
19,2.5,2.5,10,7.771997596,6.992667468,8.019553419,5,5.313779914,336,52,38,Pass
28,2.5,5,7.5,9.072610565,8.10477887,6.693628174,4.435663391,5.887256348,158,18,28,Pass
20,2.5,2.895325811,9.604674189,8.223831453,7.171494358,7.938007523,4.604674189,4.86822473,350,59,38,Pass
18,2.5,5,7.5,6.359545998,5.405908004,5.438183991,7.061816009,5.489697332,270,12,34,Fail
18,2.5,5,7.5,6.326290908,5.701290908,5.101721211,7.347418184,5.535341412,277,9,35,Fail
18,2.5,5.074241572,7.425758428,6.324241572,5.587879214,5.024747191,7.574241572,5.441413857,275,10,34,Fail
27,2.602358954,7.397641046,5,9.897641046,9.247051307,9.829401743,10,8.562341918,11,3,1,Fail
26,2.5,7.5,5,9.925346833,9.375,9.850693665,9.888020249,8.700231222,16,1,3,Fail
18,2.355604743,5.144395257,7.5,6.358296443,5.733296443,5.048131752,7.211209486,5.488864295,284,11,37,Fail
18,3.2532633,4.2467367,7.5,7.37989495,6.189947475,6.255438833,7.688315825,6.546561616,310,9,41,Fail
20,5.012128335,2.512128335,7.47574333,7.509096251,7.5,7.483828887,8.10074333,7.085354723,544,73,69,Pass
20,2.5,6.870874959,5.629125041,6.71771874,6.40728126,7.080583306,7.185437479,5.626375014,569,80,74,Pass
20,2.561926646,7.438073354,5,6.905963323,6.265481662,7.5,7.561926646,5.406345559,577,81,74,Pass
20,6.208415282,2.5,6.291584718,7.19789618,6.744740449,7.5,7.520792359,6.479125692,526,60,70,Pass
20,5,3.124002474,6.875997526,7.343999381,6.875997526,7.291999175,7.968999381,6.667331684,527,68,66,Pass
20,5.353552818,3.207105637,6.439341545,7.588388205,5.625,4.638070425,5.088388205,6.485701879,568,83,71,Pass
20,5,1.389636773,8.610363227,8.610363227,6.45777242,6.017272045,5.555181614,5.509757849,543,46,74,Pass
20,4.34487601,3.15512399,7.5,7.336219003,7.336219003,6.84487601,8.616342992,6.86495867,526,77,69,Pass
20,2.5,7.42827219,5.07172781,6.94672781,6.285863905,7.5,7.57172781,5.464485207,580,81,74,Pass
26,1.771252274,3.957495452,9.271252274,8.203439206,4.660934657,5.833333333,3.125,4.009788256,246,26,20,Fail
30,4.276732332,4.648845112,6.074422556,6.875,6.518605639,6.783718296,7.045337971,6.191474185,145,36,16,Fail
35,2.373526292,5.917649139,6.708824569,6.875,6.677206142,6.36078362,5.300732434,6.402941523,80,20,9,Fail
19,3.53276967,3.96723033,7.5,8.088794945,7.5,5.73678652,4.483615165,5.661205055,450,40,69,Pass
24,0,5,10,7.775643564,7.150643564,7.5,7.086534655,5.318382836,117,18,18,Pass
18,0.166107449,7.333892551,7.5,7.5,7.416946275,4.388143266,6.499161174,6.3607383,352,30,69,Pass
26,0.197606507,5,9.802393493,7.598803253,6.924401627,7.5,7.697606507,4.813874258,26,4,5,Pass
23,2.392753458,3.803623271,8.803623271,7.5,6.875,7.5,8.696376729,5.779710062,149,13,25,Pass
23,2.5,7.14204077,5.35795923,6.339489807,6.785510193,6.07197282,4.10795923,8.749047565,238,17,52,Fail
20,4.878712571,0.181931143,9.939356286,9.939356286,6.25,8.313118762,9.954517214,7.032796905,357,28,68,Fail
19,2.5,7.5,5,7.661091552,6.179137328,5.833333333,3.376320431,5.536971839,340,68,44,Fail
20,2.5,5,7.5,8.051615375,6.25,7.107794875,5.073384625,6.446102563,312,22,52,Fail
20,2.5,5,7.5,7.77568112,6.970544896,7.740181632,6.610272448,6.490181632,219,7,42,Fail
20,1.117596478,6.382403522,7.5,7.77939912,6.38969956,6.382403522,8.125,4.81373392,409,41,33,Fail
19,3.477867743,6.033198386,5.488933871,7.880533064,6.752766532,6.159289248,5.611167339,7.164822312,329,66,49,Fail
23,3.481069001,3.481069001,8.037861999,6.49526725,7.25473275,6.160356334,4.2405345,4.404046,162,18,25,Pass
20,2.94699618,4.55300382,7.5,7.210247135,6.361749045,5.833333333,4.532243315,5.595994907,489,55,93,Pass
19,3.255464828,5.989070344,5.755464828,7.877732414,7.311133793,5.251821609,8.125,5.135018852,477,61,74,Pass
22,1.435666337,7.5,6.064333663,7.766083416,8.298250247,6.064333663,7.326749753,5.523889438,402,37,57,Pass
26,2.49800025,2.5039995,9.99800025,6.252499687,7.5,5.8346665,3.751499812,3.752999625,0,0,0,Pass
21,3.45617649,4.631470531,6.912352979,7.739044122,7.021911755,5.637450993,6.929779388,4.546813741,353,46,61,Pass
26,2.847018121,2.152981879,10,6.510263591,7.32649094,5.94900604,3.92350906,4.039181767,24,3,6,Pass
21,2.5,4.191413236,8.308586764,6.875,6.654293382,5.833333333,4.558586764,5,455,52,86,Pass
27,2.5,3.085322732,9.414677268,6.835322732,7.646330683,5.833333333,4.774314781,4.725537887,66,9,9,Pass
22,2.377199839,5.122800161,7.5,6.967100121,6.372800161,5.833333333,3.68859992,5.020466693,462,52,92,Pass
30,1.320984705,6.179015295,7.5,7.759261471,7.134261471,5.833333333,5.518522942,5.982512746,257,29,51,Pass
38,4.529366709,5,5.470633291,8.477974968,7.735316645,7.656877764,4.610316645,7.161772215,87,7,9,Fail
20,5,6.650277826,3.349722174,7.912569456,7.806354185,5.974953696,9.575138913,5.974953696,455,51,64,Fail
26,4.136270065,5,5.863729935,9.375,7.693135032,6.09084671,5.261527387,8.060621656,65,1,8,Fail
25,3.570068203,4.289795392,7.140136405,10,8.125,7.616780338,5.359863595,6.013265131,198,71,40,Pass
25,5,1.286756555,8.713243445,9.356621723,7.803310861,9.356621723,4.430134832,5.548400749,242,61,30,Pass
24,4.467862982,4.467862982,6.064274036,7.633034255,7.633034255,4.645241988,4.508034255,5.620826521,342,29,45,Pass
26,5,1.929470394,8.070529606,8.070529606,6.677897205,7.427372808,3.464735197,6.191225328,371,33,53,Pass
29,4.055500985,5,5.944499015,7.972249507,7.027750493,5.62966601,4.138875246,5.62966601,271,23,36,Pass
31,4.048801632,0.951198368,10,9.048801632,8.600599184,9.365867755,5.353595104,5.217465579,202,51,25,Pass
23,4.033493449,2.899519654,8.066986897,9.275120086,7.641746724,8.389155748,3.466506551,5.227671034,334,64,47,Pass
21,2.5,5,7.5,7.649770317,7.024770317,6.03302709,2.949310952,5.299540634,447,48,59,Pass
20,4.881286363,4.881286363,5.237427274,7.618713637,7.529678409,5.237427274,4.464035228,5.079142425,414,35,54,Pass
24,4.899306904,0.201386191,9.899306904,9.748267261,8.024306904,9.865742539,2.651039643,4.482640238,328,80,40,Pass
19,4.732256788,5,5.267743212,7.700807409,7.366128394,5.178495474,4.241128394,4.910752263,429,33,58,Pass
23,5,0.700797262,9.299202738,9.474402053,7.949800684,9.299202738,3.200797262,5.050531508,344,72,46,Pass
28,6.016763445,5,3.983236555,8.262572584,7.245809139,6.016763445,5.137572584,5.677842297,258,22,34,Pass
25,2.5,7.5,5,7.5,6.25,6.666666667,7.5,5,0,0,0,Fail
20,2.616256741,7.267486518,5.116256741,8.095935815,7.44187163,8.255828839,9.883743259,7.461247753,228,63,19,Fail
24,2.5,4.641613808,7.858386192,8.570806904,8.035403452,8.808280475,4.554193096,4.880537936,220,3,25,Fail
20,4.928266683,2.571733317,7.5,8.732066671,6.928799988,6.76231109,9.874466694,3.857599976,406,29,57,Fail
20,3.479539959,4.020460041,7.5,7.25511501,7.98976998,6.812873293,4.104539959,4.200766735,303,24,36,Fail
20,2.5,5,7.5,6.326991158,6.326991158,6.224336281,1.951991158,6.028834807,328,23,50,Fail
19,0,5.92591901,9.07408099,5.694439258,6.157398763,6.450612673,6.944439258,6.666666667,364,42,60,Pass
19,0.168034884,7.163930231,7.668034884,7.085043605,8.167008721,7.612023256,8.251026163,6.890713179,412,76,69,Pass
22,6.794831244,5,3.205168756,7.051292189,6.602584378,6.784194793,5.625,3.808764063,342,47,44,Pass
20,7.5,4.543619382,2.956380618,7.331380618,6.364095154,6.514539794,5.967285463,4.130317181,326,45,42,Pass
25,2.5,3.947709077,8.552290923,8.914218192,7.845181827,8.92538182,7.828436384,8.311006077,128,18,20,Pass
19,7.489164663,4.989164663,2.521670674,6.883126503,6.239164663,6.663054888,5.616873497,3.759029447,398,54,51,Pass
19,5.649464782,5.925267609,3.425267609,6.181049293,6.25,6.666666667,6.550267609,4.675267609,366,51,56,Pass
